OA,pca_cluster,ae_cluster,oac_supergroup
E00000001,2,6,3
E00000003,2,6,3
E00000005,7,5,3
E00000007,7,5,3
E00000010,7,5,3
E00000013,7,5,3
E00000018,7,6,3
E00000019,7,5,3
E00000020,7,5,3
E00000021,7,5,3
E00000022,7,5,3
E00000023,7,5,3
E00000024,7,5,3
E00000025,7,5,3
E00000028,7,5,3
E00000029,7,5,3
E00000030,7,5,3
E00000031,7,5,3
E00000032,7,5,3
E00000037,1,1,4
E00000038,1,1,4
E00000039,7,5,4
E00000040,7,5,4
E00000041,1,1,4
E00000042,7,5,3
E00000043,7,5,3
E00000045,1,1,4
E00000046,7,5,4
E00000048,1,5,4
E00000049,1,1,4
E00000050,1,1,3
E00000051,1,1,4
E00000052,1,1,4
E00000053,1,1,4
E00000054,1,1,4
E00000055,1,1,4
E00000056,1,1,4
E00000057,1,5,4
E00000059,7,5,3
E00000060,1,1,4
E00000061,7,5,4
E00000063,1,1,4
E00000064,1,1,4
E00000066,1,1,4
E00000067,1,1,4
E00000068,1,1,4
E00000069,7,5,4
E00000070,1,1,4
E00000071,1,1,4
E00000072,1,1,4
E00000073,1,1,4
E00000074,1,1,4
E00000075,1,1,4
E00000076,1,1,4
E00000077,1,1,4
E00000078,1,1,4
E00000079,1,1,4
E00000080,1,1,4
E00000081,1,1,4
E00000082,1,1,4
E00000083,1,1,4
E00000084,1,1,4
E00000085,1,1,4
E00000086,1,1,4
E00000087,1,1,4
E00000088,1,1,4
E00000089,1,1,4
E00000090,1,1,4
E00000091,1,1,4
E00000092,1,1,4
E00000093,1,1,4
E00000094,1,1,4
E00000095,1,1,4
E00000096,1,6,4
E00000097,1,1,4
E00000098,1,1,4
E00000099,3,2,3
E00000100,1,1,4
E00000101,1,1,4
E00000102,1,1,4
E00000103,1,1,4
E00000104,1,1,4
E00000106,1,1,4
E00000107,1,1,4
E00000108,1,1,4
E00000109,1,1,4
E00000110,1,1,4
E00000111,1,1,4
E00000112,1,1,4
E00000113,1,1,4
E00000114,1,1,4
E00000115,1,1,4
E00000116,1,1,4
E00000117,7,5,4
E00000118,1,1,4
E00000119,1,1,4
E00000120,1,1,4
E00000121,1,1,4
E00000122,1,1,4
E00000123,1,1,4
E00000124,1,1,4
E00000125,1,1,4
E00000128,1,1,4
E00000129,1,1,4
E00000130,1,1,4
E00000131,7,5,4
E00000132,1,1,4
E00000133,1,1,4
E00000134,1,1,4
E00000135,1,1,4
E00000136,1,1,4
E00000137,1,1,4
E00000138,1,1,4
E00000139,1,1,4
E00000140,1,1,4
E00000141,7,5,4
E00000142,3,2,3
E00000143,1,1,4
E00000144,1,1,4
E00000145,1,1,4
E00000146,1,1,4
E00000147,1,1,4
E00000148,3,2,4
E00000149,1,1,4
E00000150,1,1,4
E00000151,1,1,4
E00000152,1,1,4
E00000153,1,1,4
E00000154,1,1,4
E00000155,1,5,4
E00000156,6,1,4
E00000157,1,1,4
E00000158,6,1,4
E00000159,1,1,4
E00000160,6,7,4
E00000161,1,1,4
E00000162,1,1,4
